url,n_users,description
https://news.yahoo.com/capitol-cop-says-rioters-sentences-162414889.html?ncid=['facebook_yahoomainf_js3jgx0vd5k'],1,news.yahoo.com | Capitol cop says rioters' sentences aren't harsh enough: 'Their jail time is less than my recovery time'
https://newsbusters.org/blogs/nb/nicholas-fondacaro/2022/01/04/was-he-it-stelter-suggests-hannity-helped-plot-capitol-riot,1,"CNN media bootlicker Brian Stelter understood his assignment Tuesday after the Democrat-led House January 6 Committee said they wanted to speak to Fox News Channel host Sean Hannity about his messages to former Trump administration officials before, during, and after the riot."
https://newsbusters.org/blogs/nb/tim-graham/2022/01/05/column-do-we-need-january-6-news-glut,1,"On the cusp of an absolute glut of liberal-media anniversary coverage of the January 6 riot, CNN media reporter Brian Stelter was cranky. “We live in a world where Donald Trump's top supporters malign the media for being ‘obsessed’ with January 6.”"
https://railfandepot.com/,1,
https://www.cnsnews.com/blog/cnsnewscom-staff/democrat-senator-among-those-stranded-icy-i-95,1,Sen. Tim Kaine (D-Va.) is among those trapped in a massive traffic stoppage on I-95 in northern Virginia.
https://redstate.com/mike_miller/2022/01/02/nyt-editorial-board-ridiculously-claims-every-day-is-jan-6-now-n500437,1,redstate.com | NYT Editorial Board Ridiculously Claims 'Every Day Is Jan. 6 Now'
https://sanatogapost.com/2021/12/30/turnpike-construction-affects-422-lane/,1,sanatogapost.com | Expect Route 422 Delays Jan. 6 Near King of Prussia - The Post
https://somjournal.com/group-wins-new-chance-to-obtain-yates-doj-emails-over-trump-travel-ban/,1,"Former Acting Attorney General Sally Yates testifies before the Senate Judiciary Committee on Capitol Hill, Washington, D.C., May 8, 2017. REUTERS/Aaron P. Bernstein Register now for FREE unlimited access to reuters.com Register D.C. Circuit gives Judicial Watch new shot to secure Sally Yates-relate..."
https://thepoliticalinsider.com/capitol-riot-officer-michael-fanone-who-testified-before-the-select-committee-joins-cnn/,1,Of COURSE.
https://waynedupree.com/2022/01/babbitts-checkered-past-had-nothing-to-do-with-the-day-she-was-killed/,1,"When Ashli Babbitt tried to get into the Speaker's Lobby on January 6, she was shot and killed by a police officer. On Monday, the Associated Press ran a"
https://www.breitbart.com/clips/2022/01/02/liz-cheney-ivanka-visited-donald-trump-at-least-twice-on-jan-6-to-stop-the-violence/,1,breitbart.com | Liz Cheney: Ivanka Visited Donald Trump 'At Least Twice' on Jan. 6 to Stop the Violence
https://www.cnsnews.com/article/washington/susan-jones/us-capitol-police-chief-wereabout-400-officers-short-where-we-need,1,"Challenges remain for the U.S. Capitol Police, including threats against lawmakers and adequate police staffing, Chief Thomas Manger told ""Fox News Sunday."""
https://www.dailymoth.com/blog/monday-january-3-top-stories,1,
